"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_6217","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","1","0","1","1.0","1.0"
"group_7333","","hypothetical protein","0","19","64","125","0.0","86.80555555555556","0.0","0.0010661116143054754","1.0","0.1177686972428064","1","0","1","1.0","1.0"
"ycaD","","putative MFS-type transporter YcaD","40","121","24","23","62.5","15.972222222222221","0.3168044077134986","0.001075483038795567","1.0","0.11813723296611699","18","10","13","0.09625244140624999","0.8145294189453123"
"pytH","","hypothetical protein","4","37","60","107","6.25","74.30555555555556","0.1927927927927928","0.0010799584177578158","1.0","0.11813723296611699","10","3","9","0.021484374999999997","0.3437499999999999"
"group_3423","","hypothetical protein","4","37","60","107","6.25","74.30555555555556","0.1927927927927928","0.0010799584177578158","1.0","0.11813723296611699","6","3","4","0.6875000000000002","1.0"
"group_5776","","hypothetical protein","4","37","60","107","6.25","74.30555555555556","0.1927927927927928","0.0010799584177578158","1.0","0.11813723296611699","4","3","2","0.625","1.0"
"group_3488","","hypothetical protein","4","36","60","108","6.25","75.0","0.2","0.0010804730519680327","1.0","0.11813723296611699","7","4","4","0.9999999999999998","0.9999999999999998"
"gstB_1","","hypothetical protein","4","36","60","108","6.25","75.0","0.2","0.0010804730519680327","1.0","0.11813723296611699","6","3","4","0.6875000000000002","1.0"
"group_2309","","hypothetical protein","13","63","51","81","20.3125","56.25","0.3277310924369748","0.0010872474579860963","1.0","0.11867610580880154","13","7","10","0.09228515625000003","0.9999999999999999"
"puuB_2","","Gamma-glutamylputrescine oxidoreductase","33","109","31","35","51.5625","24.305555555555554","0.3418171056525599","0.0011167944536026224","1.0","0.1200187156904343","31","18","20","0.1496127843856811","0.4731296598911284"
"group_4258","","hypothetical protein","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","2","0","2","0.5","0.5"
"group_5363","","hypothetical protein","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","1","0","1","1.0","1.0"
"dapF_1","","Diaminopimelate epimerase","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","1","0","1","1.0","1.0"
"group_5513","","hypothetical protein","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","2","0","2","0.5","0.5"
"group_5678","","hypothetical protein","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","3","0","3","0.25","0.25"
"mdoB_1","","Phosphoglycerol transferase I","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","2","0","2","0.5","0.5"
"group_5774","","hypothetical protein","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","1","0","1","1.0","1.0"
"group_5956","","hypothetical protein","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","1","0","1","1.0","1.0"
"group_5957","","hypothetical protein","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","1","0","1","1.0","1.0"
"group_6020","","hypothetical protein","0","18","64","126","0.0","87.5","0.0","0.001125074138329368","1.0","0.1200187156904343","1","0","1","1.0","1.0"
"group_2352","","hypothetical protein","10","55","54","89","15.625","61.80555555555556","0.2996632996632997","0.0011275498013255715","1.0","0.1200187156904343","21","8","16","0.026603698730468753","0.38331031799316395"
"group_2465","","hypothetical protein","10","55","54","89","15.625","61.80555555555556","0.2996632996632997","0.0011275498013255715","1.0","0.1200187156904343","26","7","22","0.0005335211753845216","0.02895927429199217"
"azu","","Azurin","10","55","54","89","15.625","61.80555555555556","0.2996632996632997","0.0011275498013255715","1.0","0.1200187156904343","18","10","12","0.23788452148437486","0.8145294189453123"
"group_3344","","hypothetical protein","10","55","54","89","15.625","61.80555555555556","0.2996632996632997","0.0011275498013255715","1.0","0.1200187156904343","12","5","11","0.006347656250000001","0.7744140625000003"
"group_4157","","hypothetical protein","2","28","62","116","3.125","80.55555555555556","0.1336405529953917","0.0011658554271390836","1.0","0.12293978807239649","3","2","1","1.0","1.0"
"group_4257","","hypothetical protein","2","28","62","116","3.125","80.55555555555556","0.1336405529953917","0.0011658554271390836","1.0","0.12293978807239649","10","2","9","0.021484374999999997","0.10937500000000003"
"group_4339","","hypothetical protein","2","28","62","116","3.125","80.55555555555556","0.1336405529953917","0.0011658554271390836","1.0","0.12293978807239649","4","2","2","1.0","1.0"
"group_4433","","hypothetical protein","2","28","62","116","3.125","80.55555555555556","0.1336405529953917","0.0011658554271390836","1.0","0.12293978807239649","5","2","3","1.0","1.0"
"group_4434","","hypothetical protein","2","28","62","116","3.125","80.55555555555556","0.1336405529953917","0.0011658554271390836","1.0","0.12293978807239649","5","2","4","0.375","1.0"
"group_3841","","hypothetical protein","2","29","62","115","3.125","79.86111111111111","0.12791991101223582","0.0011702905585588442","1.0","0.12293978807239649","2","2","2","0.5","0.5"
"group_4039","","hypothetical protein","2","29","62","115","3.125","79.86111111111111","0.12791991101223582","0.0011702905585588442","1.0","0.12293978807239649","8","2","6","0.2890624999999999","0.2890624999999999"
"group_4177","","hypothetical protein","2","29","62","115","3.125","79.86111111111111","0.12791991101223582","0.0011702905585588442","1.0","0.12293978807239649","4","1","3","0.625","0.625"
